seed,testR2
6944,0.8745541566614129
8536,0.8706707252550849
2362,0.8725410070066125
8301,0.8737856530431188
8577,0.8641791443829284
9552,0.8670164300319158
3172,0.8721523909582504
9707,0.8669290874289448
5699,0.8779822877683386
1856,0.8698996487128742
5700,0.8722251497947998
7898,0.8717533153783769
2570,0.8691979848849226
3716,0.8701621570994744
8391,0.873231974797822
7019,0.8743168468818449
1992,0.8647854345018345
5857,0.8758805462728402
6100,0.8736944101070313
153,0.8732528254632174
79,0.8739071312000052
3866,0.8759970647813421
5152,0.873368322659314
8976,0.86669202972714
9850,0.8714799645704412
9009,0.8725134635107938
1502,0.863442308929971
9835,0.8724696718740755
4582,0.8720624735173539
4055,0.8681135967852028
9093,0.8737786247962385
3323,0.8794520214549942
2125,0.8671817725985941
3994,0.8579990970160544
1331,0.8649771235993621
7247,0.8706950394215922
1173,0.8705051647604011
1307,0.8687021391961408
7279,0.8770847905849228
3603,0.8678655087240098
6983,0.8703013561295742
8919,0.8647556563747404
4316,0.8739318235148271
210,0.8697373333547835
3376,0.8755272613309003
9256,0.8717815445526559
2020,0.870621110554222
1172,0.8638261448144456
4104,0.8716593780482652
6036,0.8718976308780743
6435,0.8767494143325445
667,0.8668682097233983
7226,0.8704112605318279
1585,0.8750399602757346
142,0.8738049324481496
7029,0.8718826269479772
19,0.865188288174453
4769,0.8720859893361811
6363,0.8669559088565798
8622,0.8738031339278383
9675,0.8660830343007335
3373,0.8712878963153439
1787,0.8638504230086408
7965,0.8679579588221302
8583,0.8800926447648348
6240,0.8693254626992263
4669,0.8692447869156729
9350,0.871403563325678
2600,0.8746668977363772
6776,0.8727219892999122
574,0.87360263456761
8119,0.8727293779627782
578,0.8680795081434081
2373,0.875052066588144
2610,0.870735414850123
386,0.872798962657441
2478,0.8742328057093625
1196,0.8622430044601437
8838,0.8674793841858349
7835,0.8709345783828785
7723,0.8637067820413202
5458,0.8752357058988304
1946,0.8663295912896304
4145,0.8739184491465064
9235,0.8644109803353571
6210,0.8721718293242774
6305,0.8686098660148369
4704,0.8671580889436203
1945,0.8722530150495378
8769,0.8732612064973221
4918,0.8771559352497169
4065,0.8703700441241454
696,0.8694364202667018
1050,0.8737131260072113
5931,0.8738973924847205
4810,0.8746964228487742
1937,0.8711151503006213
349,0.8750038788394677
1549,0.8763262181941768
8126,0.8785774642946755
9366,0.8685768873825112
6114,0.8722297438018186
7053,0.8772410807399064
