seed,testR2,testR2Real,testR2RealNoOutiler
2903,0.8691506354062657,-711.7090686175657,0.7387591874262206
7896,0.8721892119843032,-629.3355223059674,0.7309729427031221
794,0.8730640734681971,-635.7967772156586,0.7210607902340365
3618,0.866784898324186,-743.3205107687708,0.7276057021490313
3553,0.8707145775241397,-626.0856362788526,0.7274216532623473
4095,0.8709386200993924,-614.4025875868208,0.7393830382089863
7076,0.8670440111009231,-623.4030880140542,0.7392961504154584
286,0.8696618197872001,-845.8733434121665,0.7371904379339623
8101,0.8768315444716039,-717.5460728374533,0.7543200016995883
3896,0.8788999254028728,-887.5538357745531,0.7354062398928808
3783,0.8772873878896711,-717.5352181495876,0.727047253526013
8396,0.8688316849641332,-981.5926506296682,0.7249313004233588
18,0.8721522346701205,-850.9861700577272,0.7296150312688655
3365,0.8694169804529225,-675.000343311084,0.7268523089675325
7371,0.8788785036739868,-966.2958236669037,0.7209593154727876
100,0.8730602507134678,-584.9239682817724,0.7623325717270696
1862,0.8692884135690638,-441.3868582598975,0.7333463827102715
5836,0.8696715748358356,-763.1366080786198,0.753026356108362
2109,0.8796577622904321,-409.94688422002906,0.7184983063818802
9574,0.876986146533341,-782.5657845550871,0.7468436207659126
8102,0.8767784385198197,-775.238739933612,0.7227219308740968
4679,0.8724818201819419,-753.3545852797982,0.7363829631670408
3884,0.8710257696003444,-505.00774284784643,0.7620926380572169
2734,0.8640337635614604,-806.4975849324743,0.7319019850247838
2709,0.8734899918686727,-695.7012919805634,0.7315849915265024
1214,0.8749527476846973,-547.8294053604266,0.7375736999536823
9431,0.868816563241535,-619.6122081341493,0.7293576181611062
628,0.8693062943810514,-603.3751778488739,0.7358249903346875
8612,0.8659386089571383,-833.6865640430397,0.7302378660490788
874,0.871873852462621,-709.1039218905249,0.7364780472521527
9179,0.8689521425687886,-479.2561143723937,0.7223428554419522
2478,0.8742328057093625,-806.3505494553534,0.7407571172988989
7257,0.8707272193221259,-652.1161787349814,0.7222651754037158
3953,0.8746859100734942,-691.434234349079,0.7198763885059335
6706,0.8651610508981985,-964.7447558894822,0.7386073618318366
5723,0.8683751133314433,-618.6592738159262,0.7432250681948641
4484,0.8719439226815116,-846.5711191273967,0.7382324331017767
9731,0.8670284287018806,-907.0344436561976,0.7471839725819827
6492,0.8693948208830186,-936.4141839932066,0.7528377053424723
4545,0.8700692215971303,-679.3693705334364,0.7658113314033713
2005,0.8701069251338814,-817.3920756244198,0.7337178825688841
2075,0.8768826916610294,-737.0021405449623,0.7262605006656161
5447,0.86967870342274,-991.0659439891477,0.7530747499911602
634,0.8740475956060069,-506.3315369565101,0.7481326632124253
6814,0.8704711323315002,-640.6781388850299,0.7277699345509318
6828,0.865156473783134,-732.3854126067935,0.7307183330344857
8060,0.8678519560057628,-632.0920320575898,0.753878091360976
8638,0.8790932021298552,-658.9963014406418,0.7401223929723572
1591,0.87195187580063,-780.4953678780779,0.7357850205322505
3109,0.8635791665013898,-633.8603152043933,0.7248551281831411
7951,0.8675984892835477,-754.1797426294708,0.7285339130744459
6280,0.8763619245273429,-653.6955947865151,0.7221655345019657
7551,0.8640293051961073,-815.9022718804135,0.7171364722772121
242,0.8669360282319148,-659.7855359779709,0.7443343965690318
9822,0.8746737480615104,-830.3185479402044,0.7473315782987436
2863,0.8677853858350953,-836.8127812313328,0.7239331297437976
9009,0.8725134635107938,-727.0703588808564,0.7214759703851988
6800,0.8718891639141084,-641.113203513374,0.7537581365404055
5571,0.865489763161781,-925.2732116279202,0.7396226753861052
2082,0.87160102786055,-519.5072067169286,0.72546745037701
3650,0.8703645255722993,-737.8626682619343,0.7140748573190964
1410,0.8734055020342822,-858.2263647038964,0.7335455517931191
9896,0.8694236890829049,-915.6129995274847,0.7343389341615792
6015,0.8635916191429654,-545.0123827744853,0.7103833950467807
7654,0.867009451118868,-626.1436177576884,0.7470128382421425
4651,0.8672206762750632,-690.7750332394052,0.7619267155704663
7163,0.8704061753497744,-695.5519565705082,0.7357894640251402
1840,0.8731156256767464,-671.3918024962724,0.7488739252283029
7626,0.8652188275568009,-613.9584116409743,0.7247488124621723
7566,0.8724668080265635,-901.685417897925,0.7158030647182071
9761,0.8693665245836389,-462.44682291743374,0.7329392658925081
4614,0.877836536385168,-519.2728131943835,0.7359706848457744
4492,0.8728057415332735,-692.903934904581,0.7205871825111941
6556,0.8787278234964706,-635.9695337975228,0.7375634245004882
8135,0.8684251924601708,-538.2658795382706,0.7167247215097058
3836,0.869317610016893,-1042.9507386198472,0.7523570633681045
2602,0.8771155412124626,-783.7036714191241,0.7550746745541019
8742,0.8653801168195292,-695.3191498328888,0.7361586508879062
3215,0.8645561841275361,-809.172368032209,0.7121673430521615
4945,0.8726371377825896,-665.8486767663052,0.7240466040658547
9366,0.8685768873825112,-1046.0185303555459,0.7395791747467321
9774,0.8710668006905218,-630.9969823219586,0.7539720216539957
3861,0.8700068478987552,-763.738268423349,0.7346270233373798
5886,0.8724966887922493,-634.4406256897485,0.7441190186466425
3879,0.872168764950891,-554.5480531145007,0.7494206882643955
825,0.8708587551825954,-722.2085051854998,0.7250448277127752
657,0.8722463544488859,-548.3874484670117,0.738033781237769
5689,0.8740822616603072,-507.68707650558054,0.7528453776056448
7721,0.8770310864050875,-958.3361544509829,0.7597168922453531
8836,0.8682334505211634,-648.7603895243893,0.7484761594689756
1957,0.8724987386573607,-546.3104064350795,0.7366496706354487
1507,0.8643971992203253,-532.8642671687472,0.7199791693502657
5969,0.8708373800815373,-758.1055556716805,0.732423934241765
3240,0.8652583294528625,-1067.4400479398944,0.7321207775046421
7434,0.8748760066512166,-456.4419843383186,0.7392234847383209
4901,0.8706980062866174,-711.7911153454426,0.7179491927526979
5983,0.8700015830387015,-662.5886479258266,0.7330771129511362
9115,0.8656017971753872,-698.7321540492103,0.7132491965122161
9148,0.8702326125456331,-833.5434941677057,0.7328700455232785
2905,0.8739068386925121,-704.241161662938,0.7305794041565945
